Gene stable ID	Chromosome/scaffold name	Gene start (bp)
ENSG00000252409	3	41687868
ENSG00000275696	3	186629936
ENSG00000207256	1	42991438
ENSG00000252341	5	10292041
ENSG00000202069	6	71652474
ENSG00000212340	3	64511755
ENSG00000251986	3	41868998
ENSG00000200168	11	111040098
ENSG00000223174	14	76890263
ENSG00000264036	10	12328132
ENSG00000207261	5	27111569
ENSG00000222592	4	39399149
ENSG00000273541	13	50104833
ENSG00000199591	3	47931808
ENSG00000206760	3	39408389
ENSG00000202276	11	8877417
ENSG00000252994	10	102803929
ENSG00000241588	15	99791209
ENSG00000199203	2	210265963
ENSG00000252620	3	195523087
ENSG00000206854	13	60789560
ENSG00000252542	9	133350847
ENSG00000207393	2	218589214
ENSG00000199735	17	76656320
ENSG00000202095	8	96431054
ENSG00000201746	1	10163268
ENSG00000252185	5	126755316
ENSG00000222704	18	39016047
ENSG00000278104	6	30035916
ENSG00000275930	7	75381638
ENSG00000238426	X	41316488
ENSG00000264767	20	38098414
ENSG00000200913	1	44776490
ENSG00000278100	10	14391875
ENSG00000206711	4	166312935
ENSG00000200247	12	19445949
ENSG00000251746	2	177138699
ENSG00000251739	4	183705931
ENSG00000222561	11	948421
ENSG00000241785	12	54255627
ENSG00000278525	20	20738433
ENSG00000200049	4	143309466
ENSG00000222740	10	126145474
ENSG00000241821	20	56688401
ENSG00000199335	4	3044101
ENSG00000200424	16	58744251
ENSG00000277467	15	30612724
ENSG00000222259	9	34049966
ENSG00000276890	3	72926955
ENSG00000212293	13	32420390
ENSG00000207442	15	25065026
ENSG00000278853	CHR_HSCHR13_1_CTG3	18869185
ENSG00000222129	13	94651397
ENSG00000272439	14	99444306
ENSG00000221345	6	71126893
ENSG00000207235	17	59260748
ENSG00000222924	5	138069355
ENSG00000222489	14	20323179
ENSG00000242985	18	8471831
ENSG00000273725	11	9279532
ENSG00000243260	4	39761000
ENSG00000200914	17	6600944
ENSG00000206913	11	74252414
ENSG00000207338	7	123457988
ENSG00000201778	3	157153548
ENSG00000243870	17	78370852
ENSG00000200786	7	79654109
ENSG00000199315	11	97657464
ENSG00000223175	1	48447936
ENSG00000263467	CHR_HSCHR6_MHC_DBB_CTG1	31076788
ENSG00000201727	4	178406695
ENSG00000199744	9	133350456
ENSG00000264415	CHR_HSCHR6_MHC_QBL_CTG1	30853833
ENSG00000264002	21	9902344
ENSG00000252333	2	229937814
ENSG00000252135	1	148385829
ENSG00000201610	2	11517397
ENSG00000201451	9	133337728
ENSG00000207110	8	127999131
ENSG00000199932	6	122211648
ENSG00000201168	12	101779814
ENSG00000222790	5	140397323
ENSG00000222238	10	101307529
ENSG00000239127	22	29333163
ENSG00000222795	8	100831728
ENSG00000239545	4	55215624
ENSG00000252828	3	68882967
ENSG00000253098	5	40911067
ENSG00000273612	13	50068107
ENSG00000274186	10	46648948
ENSG00000242113	2	151372003
ENSG00000281000	17	19112420
ENSG00000276956	12	110360452
ENSG00000202025	1	186311825
ENSG00000206951	2	32945339
ENSG00000206620	1	75787072
ENSG00000222987	5	102302504
ENSG00000242079	8	5142411
ENSG00000252172	3	149917342
ENSG00000278700	16	4658851
ENSG00000252783	14	87996345
ENSG00000253051	13	45336314
ENSG00000253055	16	35750061
ENSG00000281230	CHR_HG1832_PATCH	210232796
ENSG00000251711	10	25819363
ENSG00000266794	7	92971002
ENSG00000239030	7	94712409
ENSG00000252446	17	16691798
ENSG00000222303	X	50649641
ENSG00000201247	14	100969879
ENSG00000200652	16	28179098
ENSG00000200807	2	60384605
ENSG00000266634	1	17277889
ENSG00000199444	19	12088245
ENSG00000200208	20	23457584
ENSG00000212371	14	77466284
ENSG00000238326	5	56000518
ENSG00000241188	1	26814822
ENSG00000244671	22	21722895
ENSG00000252145	X	68102068
ENSG00000207750	1	100281241
ENSG00000200283	2	28972414
ENSG00000202252	11	123059335
ENSG00000231587	9	131490486
ENSG00000239080	X	136134317
ENSG00000207165	X	154400281
ENSG00000212157	1	223976146
ENSG00000284485	1	209432133
ENSG00000207382	17	62661621
ENSG00000252091	20	56667430
ENSG00000273566	10	21455236
ENSG00000200792	21	32377187
ENSG00000265509	CHR_HSCHR6_MHC_SSTO_CTG1	31487449
ENSG00000202313	6	11503509
ENSG00000276653	2	25058032
ENSG00000207789	12	57824609
ENSG00000207312	5	11027200
ENSG00000278592	7	27187819
ENSG00000206964	2	55286018
ENSG00000209702	19	12706449
ENSG00000283159	14	100875033
ENSG00000239607	17	75041740
ENSG00000199012	14	101065447
ENSG00000201987	1	164854231
ENSG00000202336	16	68017710
ENSG00000206769	18	61391595
ENSG00000202159	18	57755394
ENSG00000200295	6	106607716
ENSG00000206959	20	53544615
ENSG00000238721	4	150209706
ENSG00000201489	17	7537096
ENSG00000263413	14	105858165
ENSG00000265319	10	33034655
ENSG00000200305	15	39922782
ENSG00000285912	7	152592973
ENSG00000276891	15	28387196
ENSG00000265093	12	45874035
ENSG00000201968	3	126564565
ENSG00000264484	X	154495815
ENSG00000207341	1	166042244
ENSG00000212238	7	129756266
ENSG00000266039	15	28426491
ENSG00000274350	15	72664577
ENSG00000200152	11	74968189
ENSG00000201231	8	58814412
ENSG00000212517	20	5121417
ENSG00000200139	1	199888159
ENSG00000252323	Y	16336283
ENSG00000276522	9	61427617
ENSG00000284059	15	80581103
ENSG00000251722	4	48574453
ENSG00000223188	9	130120806
ENSG00000281459	CHR_HG2095_PATCH	17205128
ENSG00000208003	15	80841978
ENSG00000199677	5	132993099
ENSG00000241997	8	56022019
ENSG00000199474	16	12842487
ENSG00000275942	22	26672164
ENSG00000243976	14	100319073
ENSG00000251764	17	66895491
ENSG00000207614	17	31559996
ENSG00000275337	20	39349094
ENSG00000277374	KI270750.1	148668
ENSG00000222207	16	35734639
ENSG00000275215	21	8395607
ENSG00000264010	2	11540605
ENSG00000200174	1	62211557
ENSG00000251937	18	12400412
ENSG00000199912	12	7800361
ENSG00000201569	14	100974806
ENSG00000200757	15	25199448
ENSG00000252512	6	32078508
ENSG00000265682	2	110069961
ENSG00000251900	2	65555432
ENSG00000199480	14	106636672
ENSG00000281391	CHR_HG2095_PATCH	17409469
ENSG00000278524	2	218341911
ENSG00000201711	9	77635203
ENSG00000222895	6	31083010
ENSG00000202099	2	238412642
ENSG00000201923	20	45559758
ENSG00000281540	CHR_HG2095_PATCH	17409469
ENSG00000252191	19	53749851
ENSG00000216141	20	63919505
ENSG00000201684	11	67362414
ENSG00000252864	8	140940562
ENSG00000281067	CHR_HG1832_PATCH	210265636
ENSG00000275330	CHR_HSCHR19LRC_COX1_CTG3_1	54040833
ENSG00000200875	18	2649761
ENSG00000202304	X	130310072
ENSG00000238804	17	48956650
ENSG00000275904	9	67697076
ENSG00000216135	3	10394489
ENSG00000252252	10	54452423
ENSG00000200528	8	53914719
ENSG00000201129	1	154259727
ENSG00000207449	15	65553081
ENSG00000283745	7	27169480
ENSG00000200057	22	21389191
ENSG00000199733	10	26509589
ENSG00000264389	CHR_HSCHR6_MHC_QBL_CTG1	32485042
ENSG00000199962	21	17576798
ENSG00000207507	19	893484
ENSG00000265942	15	49042341
ENSG00000283956	8	116874728
ENSG00000251825	1	73191604
ENSG00000251877	6	28410270
ENSG00000206885	2	231455800
ENSG00000207351	3	184086791
ENSG00000221768	8	141786242
ENSG00000265983	CHR_HSCHR6_MHC_DBB_CTG1	32546409
ENSG00000251888	16	82192505
ENSG00000278287	1	63549133
ENSG00000273770	CHR_HSCHR18_ALT21_CTG2_1	78544095
ENSG00000199072	9	94176347
ENSG00000262656	CHR_HSCHR7_1_CTG6	141733992
ENSG00000263971	CHR_HSCHR6_MHC_MCF_CTG1	32608365
ENSG00000244318	7	96940068
ENSG00000222685	2	47359505
ENSG00000223181	1	758233
ENSG00000199051	X	85903636
ENSG00000207014	15	25056860
ENSG00000271922	3	154329716
ENSG00000276881	CHR_HSCHR14_7_CTG1	93437400
ENSG00000212171	2	20401627
ENSG00000206635	1	151629324
ENSG00000277948	2	175092401
ENSG00000216171	X	147189704
ENSG00000199815	3	8931506
ENSG00000200114	3	12511095
ENSG00000274606	7	116959593
ENSG00000200983	11	8684227
ENSG00000251763	17	43412427
ENSG00000200750	18	21724119
ENSG00000273886	13	34910545
ENSG00000273501	CHR_HSCHR10_1_CTG1	27382801
ENSG00000276577	17	20323001
ENSG00000252257	3	181968459
ENSG00000275420	CHR_HSCHR5_2_CTG1_1	69478716
ENSG00000280864	CHR_HG126_PATCH	72505075
ENSG00000252429	1	26602369
ENSG00000263871	CHR_HSCHR6_MHC_MANN_CTG1	32720817
ENSG00000199489	15	25215541
ENSG00000212332	10	86488446
ENSG00000244034	4	55063738
ENSG00000252810	X	101915589
ENSG00000244544	4	152264150
ENSG00000200469	4	88275205
ENSG00000206991	15	43637632
ENSG00000252448	1	37884237
ENSG00000238406	9	128543916
ENSG00000212479	21	29180425
ENSG00000206781	15	64445130
ENSG00000277139	CHR_HSCHR5_2_CTG1_1	69530371
ENSG00000207181	1	235127803
ENSG00000252398	3	32045873
ENSG00000202039	7	5180061
ENSG00000200102	14	21113639
ENSG00000200903	17	48949361
ENSG00000200350	4	154543933
ENSG00000242696	2	202357076
ENSG00000252558	8	98192205
ENSG00000273975	2	201097744
ENSG00000223064	10	85537379
ENSG00000222546	8	3700492
ENSG00000272028	12	51014134
ENSG00000252045	21	32538299
ENSG00000206672	6	67625356
ENSG00000199509	20	21138956
ENSG00000274171	CHR_HSCHR17_2_CTG5	46366710
ENSG00000221527	8	100739802
ENSG00000278498	10	103027336
ENSG00000201245	13	99783857
ENSG00000276516	CHR_HSCHR10_1_CTG4	77912271
ENSG00000251791	2	233288676
ENSG00000200475	12	13683542
ENSG00000201728	20	23380896
ENSG00000200106	9	109196201
ENSG00000202374	4	67747236
ENSG00000276839	1	182576772
ENSG00000200789	10	84003332
ENSG00000251805	2	24273614
ENSG00000202408	1	148334612
ENSG00000238788	2	127017421
ENSG00000199385	1	44390722
ENSG00000272020	3	126160283
ENSG00000277599	11	65423960
ENSG00000251960	9	15143289
ENSG00000200495	1	248912690
ENSG00000252645	15	89897576
ENSG00000276003	4	88723209
ENSG00000239888	17	15408384
ENSG00000276396	4	139155153
ENSG00000273979	22	40917111
ENSG00000212496	12	50256238
ENSG00000277004	16	35746772
ENSG00000207174	15	25081287
ENSG00000206596	14	34546714
ENSG00000274475	14	21429508
ENSG00000252396	1	237120807
ENSG00000202251	17	7266055
ENSG00000212418	17	76703632
ENSG00000251880	5	37327135
ENSG00000278757	1	516376
ENSG00000222617	15	96486582
ENSG00000202283	6	103583135
ENSG00000203436	4	9711953
ENSG00000252470	4	107435118
ENSG00000200898	11	61937894
ENSG00000213167	7	116320751
ENSG00000223238	9	111411644
ENSG00000212269	3	23641489
ENSG00000252671	5	10337277
ENSG00000275213	1	205684018
ENSG00000238754	1	193057281
ENSG00000212466	11	102313722
ENSG00000252050	X	38308112
ENSG00000199266	20	38449370
ENSG00000200418	3	186786323
ENSG00000199584	12	127619336
ENSG00000200890	2	81496214
ENSG00000252597	20	18095571
ENSG00000241791	2	46448224
ENSG00000207144	1	155419397
ENSG00000278747	CHR_HSCHR3_9_CTG3	198193139
ENSG00000212526	15	30956248
ENSG00000223335	6	32352877
ENSG00000252581	3	149525631
ENSG00000199985	8	36764445
ENSG00000200036	1	167005959
ENSG00000206926	3	15433110
ENSG00000273974	X	74280402
ENSG00000276685	8	46028804
ENSG00000206836	2	197447745
ENSG00000263608	6	30751038
ENSG00000206850	12	130906838
ENSG00000251864	6	36672838
ENSG00000201403	11	17075779
ENSG00000201157	8	18979619
ENSG00000277580	CHR_HSCHR1_3_CTG32_1	243081156
ENSG00000212532	6	51464690
ENSG00000252751	3	124407691
ENSG00000277583	7	116953214
ENSG00000277903	17	43271369
ENSG00000201217	3	152449272
ENSG00000207445	11	75404421
ENSG00000201297	4	125362819
ENSG00000277995	CHR_HSCHR5_2_CTG1	29079384
ENSG00000278026	3	181715185
ENSG00000222268	16	47505432
ENSG00000278020	7	27188816
ENSG00000201618	X	53909054
ENSG00000207333	5	75709495
ENSG00000212542	22	31305404
ENSG00000238311	15	65696833
ENSG00000252117	15	44927600
ENSG00000201766	10	14663395
ENSG00000273624	CHR_HSCHR15_1_CTG1	21428930
ENSG00000278151	4	88710147
ENSG00000238908	20	40854119
ENSG00000200917	4	105406997
ENSG00000201394	3	133710076
ENSG00000229686	20	2656624
ENSG00000200220	1	154039916
ENSG00000265033	X	49152651
ENSG00000273537	2	144520456
ENSG00000238854	8	141447475
ENSG00000275823	1	63549294
ENSG00000266150	1	59733227
ENSG00000274127	7	146208665
ENSG00000243370	17	17178414
ENSG00000251869	X	24744441
ENSG00000252275	4	188716665
ENSG00000264720	1	66628440
ENSG00000264251	17	44718861
ENSG00000239039	8	33513475
ENSG00000201315	3	36685040
ENSG00000215930	1	117094643
ENSG00000275776	15	32394365
ENSG00000201780	12	8484746
ENSG00000276871	22	11249809
ENSG00000212266	1	117688621
ENSG00000212605	X	71020275
ENSG00000199577	3	20268965
ENSG00000265831	1	241132272
ENSG00000207100	X	133152754
ENSG00000212306	15	100638363
ENSG00000240639	20	43222206
ENSG00000221375	X	139885481
ENSG00000239152	10	45856307
ENSG00000264800	10	48985512
ENSG00000199515	22	41065554
ENSG00000212360	1	61852499
ENSG00000200367	14	100943451
ENSG00000200553	4	119947131
ENSG00000202513	10	72391964
ENSG00000284293	11	68032864
ENSG00000252061	15	78898840
ENSG00000212257	1	65022968
ENSG00000252888	10	76835377
ENSG00000252745	3	142591677
ENSG00000264295	12	104591633
ENSG00000252347	14	23259460
ENSG00000221044	17	44025020
ENSG00000207233	18	54222284
ENSG00000265141	1	8979576
ENSG00000252655	14	89650793
ENSG00000216179	14	101064495
ENSG00000274742	10	101912998
ENSG00000238998	11	112977353
ENSG00000251994	18	9518119
ENSG00000201992	15	25234247
ENSG00000243373	6	158437797
ENSG00000252042	17	75145670
ENSG00000207702	15	31065032
ENSG00000263969	21	37215605
ENSG00000264317	19	34421988
ENSG00000244236	2	69516751
ENSG00000265753	1	151300665
ENSG00000264397	16	2135977
ENSG00000243267	1	10616836
ENSG00000242863	15	97353497
ENSG00000200834	9	33830978
ENSG00000276609	7	27200465
ENSG00000266232	16	2531922
ENSG00000283369	1	247607126
ENSG00000252680	18	9844717
ENSG00000275780	CHR_HSCHR17_2_CTG5	45327366
ENSG00000284368	17	64501214
ENSG00000277689	1	63549374
ENSG00000265920	CHR_HSCHR6_MHC_QBL_CTG1	32310327
ENSG00000238423	17	28720550
ENSG00000277379	21	8388362
ENSG00000274467	8	20290174
ENSG00000244356	10	33288304
ENSG00000201410	3	86125216
ENSG00000267828	7	75297990
ENSG00000264757	22	17764180
ENSG00000253015	5	139333038
ENSG00000222078	6	90001222
ENSG00000283871	22	21653304
ENSG00000243059	15	21102843
ENSG00000276103	1	150608507
ENSG00000212454	9	73750972
ENSG00000212246	2	208019638
ENSG00000283829	22	41923222
ENSG00000275655	2	97100587
ENSG00000199711	7	99936610
ENSG00000199285	14	38987281
ENSG00000265160	5	172662165
ENSG00000202402	14	31244761
ENSG00000206958	5	88382772
ENSG00000222427	11	22688351
ENSG00000208308	2	135136628
ENSG00000284370	6	30890883
ENSG00000276493	1	32087523
ENSG00000240106	19	16539688
ENSG00000277418	8	48316669
ENSG00000202406	7	112288623
ENSG00000284064	6	33290245
ENSG00000202190	10	60081741
ENSG00000199756	1	28881726
ENSG00000272230	7	114653345
ENSG00000252321	2	85820435
ENSG00000275472	CHR_HSCHR6_MHC_SSTO_CTG1	30026277
ENSG00000200101	2	59647621
ENSG00000265660	8	143733083
ENSG00000274710	CHR_HSCHR14_7_CTG1	93637179
ENSG00000252346	2	227763052
ENSG00000274581	CHR_HSCHR14_1_CTG1	91718574
ENSG00000199787	16	30419625
ENSG00000283751	X	151959628
ENSG00000273846	22	21379382
ENSG00000200360	1	111490317
ENSG00000200718	2	132523617
ENSG00000212499	10	12924679
ENSG00000200243	5	6848127
ENSG00000202008	2	201423513
ENSG00000207258	8	38744020
ENSG00000206791	1	148014417
ENSG00000238529	9	42863200
ENSG00000201331	15	25211796
ENSG00000244399	2	85442495
ENSG00000276470	1	11843812
ENSG00000252881	5	104780288
ENSG00000265745	13	60034465
ENSG00000252930	X	112919132
ENSG00000275933	1	120670127
ENSG00000251898	12	6581474
ENSG00000202239	21	46525618
ENSG00000240199	16	75698531
ENSG00000275698	CHR_HSCHR15_4_CTG8	30506091
ENSG00000278752	10	98076361
ENSG00000265838	CHR_HSCHR6_MHC_SSTO_CTG1	32539820
ENSG00000252937	3	73241789
ENSG00000207089	14	68735922
ENSG00000238730	X	40535502
ENSG00000243173	1	162777730
ENSG00000212165	20	16982831
ENSG00000252574	10	109184934
ENSG00000206924	14	75020761
ENSG00000207037	15	84938416
ENSG00000201900	1	114727720
ENSG00000277908	CHR_HSCHR4_6_CTG12	189709539
ENSG00000242066	15	77916718
ENSG00000207448	4	70701755
ENSG00000251707	X	120503037
ENSG00000206865	18	56753226
ENSG00000221507	7	144451681
ENSG00000207148	4	121329069
ENSG00000201683	6	20500175
ENSG00000251882	6	114866873
ENSG00000222102	5	151704289
ENSG00000264379	9	21524307
ENSG00000212527	1	163509484
ENSG00000201869	5	64573569
ENSG00000277118	3	186076306
ENSG00000201435	12	96303375
ENSG00000276544	10	47692399
ENSG00000212397	11	112602354
ENSG00000200763	2	20175805
ENSG00000199395	2	56235217
ENSG00000252827	12	96427200
ENSG00000262132	CHR_HSCHR18_1_CTG1_1	50319002
ENSG00000201570	3	39970125
ENSG00000280502	11	118994334
ENSG00000266828	X	115992466
ENSG00000252673	16	35754555
ENSG00000252126	7	66344303
ENSG00000202310	8	100158868
ENSG00000201160	2	25697076
ENSG00000265078	3	48094801
ENSG00000273764	CHR_HSCHR6_MHC_DBB_CTG1	30048444
ENSG00000222614	19	46736312
ENSG00000199301	16	71666091
ENSG00000212452	3	52692736
ENSG00000239579	X	137595265
ENSG00000265684	5	82078427
ENSG00000202377	7	115581315
ENSG00000265248	CHR_HSCHR6_MHC_SSTO_CTG1	32619811
ENSG00000278189	21	8439823
ENSG00000200332	22	41648089
ENSG00000252704	7	121736443
ENSG00000212153	7	141727984
ENSG00000222613	4	140779039
ENSG00000271924	2	161409554
ENSG00000265921	CHR_HSCHR6_MHC_COX_CTG1	31075504
ENSG00000206698	5	97175950
ENSG00000238934	1	161141208
ENSG00000222872	3	42221840
ENSG00000276439	CHR_HSCHR15_4_CTG8	30711324
ENSG00000200688	12	112069104
ENSG00000212512	1	202070841
ENSG00000263876	CHR_HSCHR6_MHC_COX_CTG1	29744335
ENSG00000207027	8	23806229
ENSG00000201847	13	107320895
ENSG00000252647	16	35751574
ENSG00000252800	14	63479272
ENSG00000239149	1	12507246
ENSG00000274686	10	77966173
ENSG00000201356	X	28982852
ENSG00000201198	12	57415296
ENSG00000243959	5	176547433
ENSG00000265495	CHR_HSCHR6_MHC_COX_CTG1	30122730
ENSG00000239102	9	8797135
ENSG00000207196	11	70705167
ENSG00000201271	X	72740706
ENSG00000199530	4	82944738
ENSG00000253070	10	35231331
ENSG00000201075	16	14275508
ENSG00000212473	8	70077906
ENSG00000276988	7	128483907
ENSG00000207195	4	40826655
ENSG00000252385	13	46410454
ENSG00000265255	CHR_HSCHR6_MHC_DBB_CTG1	30854930
ENSG00000251915	16	35734393
ENSG00000243066	19	14588357
ENSG00000243313	6	37832922
ENSG00000201818	4	169005249
ENSG00000277234	1	16873708
ENSG00000212378	2	72760534
ENSG00000238912	3	27547757
ENSG00000283551	10	68755172
ENSG00000201868	1	35195969
ENSG00000238711	1	151439000
ENSG00000199488	3	170994870
ENSG00000244610	17	67457023
ENSG00000201620	1	85883680
ENSG00000239169	15	25278343
ENSG00000223026	1	81251789
ENSG00000252580	9	26796173
ENSG00000202056	1	228555793
ENSG00000280646	5	146586099
ENSG00000222721	4	167662986
ENSG00000272015	21	38894785
ENSG00000285609	1	182944365
ENSG00000252068	5	157579497
ENSG00000273866	22	37578669
ENSG00000276314	15	24981994
ENSG00000273499	12	108778144
ENSG00000240014	4	147808926
ENSG00000240250	5	134517810
ENSG00000276642	1	220825776
ENSG00000199453	15	25191416
ENSG00000207004	14	51724103
ENSG00000278233	21	8212572
ENSG00000201384	14	77201026
ENSG00000252292	10	85650012
ENSG00000252943	9	19073843
ENSG00000238723	17	46215070
ENSG00000252902	11	71845196
ENSG00000275231	12	97493897
ENSG00000252073	1	244954858
ENSG00000222112	1	33336566
ENSG00000276100	7	116956431
ENSG00000288590	CHR_HSCHR18_ALT2_CTG2_1	79090905
ENSG00000288599	CHR_HSCHR17_3_CTG4	77292191
ENSG00000288594	11	118157849
ENSG00000207969	X	147230984
ENSG00000222616	2	22861552
ENSG00000201674	X	113944186
ENSG00000212434	X	69692956
ENSG00000201785	6	31536374
ENSG00000238645	16	53334562
ENSG00000241542	14	67705954
ENSG00000206688	15	25085385
ENSG00000222604	14	74711936
ENSG00000200480	14	100989130
ENSG00000283146	9	93594841
ENSG00000274396	7	27099856
ENSG00000200816	6	31623079
ENSG00000212211	3	60856389
ENSG00000206612	12	48656648
ENSG00000283272	CHR_HG2022_PATCH	91356877
ENSG00000252336	3	178429197
ENSG00000252693	X	124197743
ENSG00000284087	8	124508515
ENSG00000265439	6	44209766
ENSG00000264353	CHR_HSCHR6_MHC_DBB_CTG1	31645466
ENSG00000206605	10	26790540
ENSG00000206693	X	154774998
ENSG00000283505	8	74548550
ENSG00000241652	4	173141643
ENSG00000207204	7	98794718
ENSG00000199575	14	100949833
ENSG00000238777	20	59852667
ENSG00000207641	X	147272335
ENSG00000264847	CHR_HSCHR6_MHC_MCF_CTG1	31011157
ENSG00000252622	9	131126990
ENSG00000266295	CHR_HSCHR6_MHC_QBL_CTG1	31526642
ENSG00000273544	1	28580381
ENSG00000212289	11	27521605
ENSG00000206785	7	65760052
ENSG00000263372	8	41271048
ENSG00000274760	20	49279116
ENSG00000265810	7	151433489
ENSG00000212237	1	228647912
ENSG00000276256	GL000195.1	42939
ENSG00000261867	CHR_HSCHR12_3_CTG2_1	101205448
ENSG00000199094	6	71376960
ENSG00000206998	20	43451159
ENSG00000222783	3	130811768
ENSG00000199158	7	129774692
ENSG00000243770	2	174240143
ENSG00000251804	3	142407657
ENSG00000265059	CHR_HSCHR6_MHC_MANN_CTG1	32549943
ENSG00000201071	15	64111458
ENSG00000280704	X	70846080
ENSG00000208036	7	100093993
ENSG00000223271	15	66348276
ENSG00000199217	11	119656311
ENSG00000276770	6	43434542
ENSG00000207689	6	135239160
ENSG00000201675	19	49489965
ENSG00000264474	7	4788565
ENSG00000212259	5	95521369
ENSG00000201827	3	133551186
ENSG00000274230	12	97493178
ENSG00000222937	5	138558970
ENSG00000264342	5	90016621
ENSG00000276746	6	33562880
ENSG00000278515	CHR_HSCHR17_7_CTG4	36405198
ENSG00000263529	1	32457835
ENSG00000284464	22	20086058
ENSG00000206713	17	75089862
ENSG00000264056	6	53276993
ENSG00000207508	1	40177843
ENSG00000238431	7	57227001
ENSG00000207627	5	53951504
ENSG00000238523	10	50590652
ENSG00000242769	1	114697627
ENSG00000252802	1	26593940
ENSG00000278433	21	43609887
ENSG00000251706	16	30483135
ENSG00000221430	5	154347106
ENSG00000252777	1	28689665
ENSG00000283971	3	25664873
ENSG00000242889	17	57618108
ENSG00000199809	12	118829681
ENSG00000202241	6	30864250
ENSG00000275982	17	19649494
ENSG00000277464	15	32602121
ENSG00000252162	1	55398514
ENSG00000283469	2	206783234
ENSG00000271898	3	19314848
ENSG00000223118	2	123869256
ENSG00000207638	21	16539089
ENSG00000252128	13	21139886
ENSG00000199368	8	11392411
ENSG00000212228	16	11274113
ENSG00000252437	18	55146546
ENSG00000207634	19	53748636
ENSG00000222488	8	73018945
ENSG00000207802	20	60308474
ENSG00000251956	2	131602790
ENSG00000207193	6	16232231
ENSG00000222246	2	231892242
ENSG00000207263	15	25082768
ENSG00000206822	14	63621760
ENSG00000206845	5	164935162
ENSG00000276640	CHR_HSCHR6_MHC_MCF_CTG1	30136615
ENSG00000207788	19	53686469
ENSG00000283880	2	176188843
ENSG00000249784	4	1974636
ENSG00000283394	2	6650373
ENSG00000240186	22	31059989
ENSG00000274097	11	102057854
